MONTH,TMAX_C,TMIN_C,TAVG_C,PRCP_MM,GDD_10,FROST_DAY,HEAT_STRESS_DAY,RAIN_DAY,MONTH_NAME
1,11.735219141971553,3.2803344341125693,4.549638625764028,2.1939022623910085,0.627084962776281,356650.0,0.0,280191.6666666666,Enero
2,13.228728631629163,3.7787882642919617,5.244174286395802,2.058897193289338,0.8054408841536138,292183.3333333334,41.66666666666667,254208.33333333334,Febrero
3,15.703881955109486,5.4224178581471305,6.384350327702191,1.9491488395232635,1.3996092088281311,181616.6666666667,8.333333333333332,270708.3333333334,Marzo
4,17.73312430864899,7.161138599061257,7.452244461717839,1.9639772489461567,2.1302737002600973,94525.0,233.33333333333334,278041.6666666666,Abril
5,21.17939773426472,10.032833616851859,9.31426978898983,1.6964783379782113,3.7421310941402153,46291.66666666667,4850.0,249916.66666666666,Mayo
6,25.380527099598357,13.498765738526107,11.544026505407885,1.1926636280217218,5.898005325150052,26816.666666666668,50125.0,165875.0,Junio
7,28.725427869273375,15.991851960532589,13.134907383633495,0.6344466859846679,7.472025088948391,20900.0,157525.0,95600.0,Julio
8,28.6867235722831,16.1539666346175,13.088945973915406,0.8213821752820204,7.447910810354571,21216.666666666664,141291.6666666667,109216.66666666667,Agosto
9,25.308583220578562,13.797700558608543,11.402401487607053,1.5134935332935227,5.784120852955183,25700.0,25466.666666666664,172033.3333333333,Septiembre
10,20.584343802907348,10.464419989491505,9.0565167260202,2.355504553680892,3.5561000350283147,48591.66666666667,841.6666666666666,259641.66666666666,Octubre
11,15.277331173967083,6.508480283228504,6.44868291213137,2.6989484388535274,1.552013860118263,154350.0,0.0,287083.3333333334,Noviembre
12,12.308907932899013,4.176003818518357,5.005562356987743,2.3837734831591684,0.8410060775654759,292925.0,0.0,282116.6666666666,Diciembre
